date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:47	36012/36012	---M--	200	added ('OK')	font/woff	etag:%224a02f83-8cac-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/fonts/muller/MullerBold.woff	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/fonts/muller/MullerBold.woff	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:47	35360/35360	---M-Z	200	added ('OK')	text/html	etag:%224a02f8a-8a20-5715469933580-gzip%22	https://www.techniti.in/local/templates/neurohive/assets/fonts/osnova/OsnovaPro-Regular.html	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/fonts/osnova/OsnovaPro-Regular.html	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:49	50984/50984	---M--	200	added ('OK')	font/woff	etag:%224a02f8c-c728-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/fonts/osnova/OsnovaPro-Regular.woff	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/fonts/osnova/OsnovaPro-Regular.woff	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:49	33267/33267	---M--	200	added ('OK')	image/png	etag:%224a02fb7-81f3-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/img/lines.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/lines.png	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:49	482/482	---M--	200	added ('OK')	image/png	etag:%224a02f8d-1e2-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/img/2arrow.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/2arrow.png	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:49	344/344	---M--	200	added ('OK')	image/svg+xml	etag:%224a02fef-158-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/img/svg/checkbox.svg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/svg/checkbox.svg	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584)
11:29:50	336/336	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2005:59:53%20GMT	https://techniti.in//ms-icon-144x144.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/ms-icon-144x144.43.delayed	(from https://www.techniti.in/login/login.php)
11:29:50	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/RAJ/Music/sandhaan%20website/website2/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.techniti.in/login/login.php)
11:29:51	338/338	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2005:59:54%20GMT	https://www.techniti.in/login/login/login.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/login/login/login.45.delayed	(from https://www.techniti.in/login/login.php)
11:29:53	26640/26640	---M--	200	added ('OK')	text/css	etag:%224a02f16-6810-56f4aba92d000%22	https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75ad75a.css	(from https://www.techniti.in/societies/society_events/some.php)
